time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),SpO2 ,etCO? ,FIO2 ,end challenge
707.2,494,0,-3.347667186,0.11674893,-0.739250345,-3.230918256,-3.401773276,0.118635428,-0.75119755,-3.283137848,-3.57436506,-0.710094495,-0.211595812,-4.284459555,-3.632135508,-0.721571421,-0.215015116,-4.353706929,-7.351745863,-1.267005977,-0.604183007,-8.618751839,-11.50147749,-2.515340231,-1.190238186,-14.01681772,54.5912167,442.3725033,496.96372,0.109849836,-3.464416116,-3.520408704,-2.864270565,-2.910564087,-6.084739886,-8.986137255,9.6453264,8.300584472,9.370554104,8.528266263,11.11430177,9.287967723,10.74464454,10.76169415,0.089600343,0.101103242,0.091774691,0.110973852,21.22691228,14.73224606,35.95915834,59.03061266,-0.790089374,0.566216264,-0.22387311,710.4,75.03107687,0,97.74958648,4.37315457,-0.028859118,20.83502339,15.72269281,4.260195446,0.001388959,74.08886924,99.77513494,3.900066411,0.21,
710.4,495,0,-3.240463389,0.012643914,-0.710661089,-3.227819475,-3.279774752,0.011373819,-0.719793046,-3.268400932,-3.576365296,-0.667721614,-0.199195589,-4.244086909,-3.62154324,-0.67713805,-0.201379719,-4.29868129,-7.409434401,-1.505109594,-0.424159994,-8.914543995,-11.67515288,-2.871024923,-0.786641847,-14.5461778,57.69072406,437.3190365,495.0097605,0.116550996,-3.253107302,-3.291148571,-2.908643682,-2.944405191,-5.904324807,-8.804127958,9.66836316,8.199663103,9.345446898,8.574536654,11.07812581,9.203226055,10.69904212,10.82626266,0.088892939,0.102663922,0.09189351,0.110502365,21.19523467,14.77460089,35.96983555,58.90413216,-0.821766989,0.608571089,-0.2131959,713.6,71.68766111,0,97.23520666,4.386237583,0.0280043,20.73160956,15.43067508,4.282116099,0.003790759,72.39685175,99.92570725,3.896449757,0.21,
713.6,496,0,-3.087941811,-0.111564865,-0.586388283,-3.199506677,-3.12085519,-0.115656992,-0.591875971,-3.236512181,-3.462293508,-0.63112125,-0.147404734,-4.093414758,-3.500555324,-0.638819777,-0.148555069,-4.139375101,-7.043437248,-1.565899871,-0.33286808,-8.609337119,-11.34835857,-2.797035343,-0.689695659,-14.14539391,58.20387933,439.2878891,497.4917684,0.117000724,-2.976376946,-3.005198198,-2.831172259,-2.861735547,-5.477537377,-8.551323228,9.694965261,8.173341193,9.330972327,8.536083278,11.09318056,9.158172066,10.66199115,10.75311524,0.088526687,0.102827079,0.091872004,0.110739592,21.31832012,14.70713171,36.02545183,59.15256813,-0.698681533,0.541101914,-0.157579619,716.8,73.64138059,0,97.02760226,4.386127068,0.029663408,20.73534545,15.34572135,4.288243815,0.003611683,71.92787249,99.59590438,3.923592006,0.21,
716.8,497,0,-2.928044011,-0.160453061,-0.45223375,-3.088497073,-2.95914495,-0.16513005,-0.454874055,-3.124275,-3.300167993,-0.596242512,-0.080559503,-3.896410505,-3.334355373,-0.602363752,-0.081128789,-3.936719125,-6.522508176,-1.438454858,-0.316811469,-7.960963035,-10.69184458,-2.447544559,-0.853290307,-13.13938914,56.56362999,446.1138168,502.6774468,0.112510087,-2.76759095,-2.7940149,-2.703925482,-2.731991621,-5.084053318,-8.244300025,9.72083328,8.186162493,9.318806185,8.461896368,11.13042455,9.141252357,10.63622393,10.59204254,0.088348663,0.102336199,0.091890566,0.110949015,21.41307226,14.61976292,36.03283518,59.41912313,-0.603929398,0.453733125,-0.150196273,720,77.57092483,0,97.06421595,4.402738788,0.012441846,20.79536997,15.35486131,4.297463621,0.002738141,71.35521811,98.98327986,3.969642072,0.21,
720,498,0,-2.883441546,-0.027520638,-0.447876429,-2.910962184,-2.912128354,-0.029061862,-0.450699934,-2.941190216,-3.26312726,-0.5305107,-0.061375948,-3.79363796,-3.293911006,-0.5351824,-0.061924812,-3.829093407,-6.465980531,-1.260362162,-0.292942086,-7.726342693,-10.40218148,-2.320713954,-0.948537331,-12.72289543,55.0963335,450.4159638,505.5122973,0.108951345,-2.855920907,-2.883066492,-2.73261656,-2.758728606,-5.205618369,-8.081467523,9.72871035,8.16878062,9.307194611,8.463466612,11.12830693,9.127508734,10.63467757,10.53343131,0.088184448,0.102618867,0.092093235,0.110281894,21.25117434,14.66521498,35.91638932,59.1733586,-0.765827313,0.499185178,-0.266642135,723.2,77.42335588,0,97.09084553,4.474403908,0.021561134,20.80607458,15.18263555,4.345860409,0.004290809,70.45046335,98.60515165,4.004053454,0.21,
723.2,499,0,-2.970318751,0.231891632,-0.550882725,-2.738427119,-2.998571389,0.235339206,-0.556146897,-2.763232183,-3.356556413,-0.415366204,-0.10069269,-3.771922616,-3.387878154,-0.419081201,-0.101554232,-3.806959355,-6.881090773,-1.12520026,-0.237115917,-8.006291033,-10.76357949,-2.523863115,-0.784919389,-13.28744261,55.31997181,449.575459,504.8954308,0.109567507,-3.202210383,-3.233910595,-2.941190209,-2.968796953,-5.755890513,-8.23971638,9.723126329,8.129746119,9.308280787,8.545823751,11.09818787,9.116146341,10.66420727,10.65830388,0.088044971,0.103454507,0.092310377,0.109473311,21.03644574,14.77221475,35.80866049,58.74751271,-0.980555916,0.606184952,-0.374370964,726.4,74.97176471,0,97.03347647,4.58656172,0.030311179,20.77502592,14.79166112,4.43496891,0.006957088,71.27317362,98.56976376,4.015263926,0.21,
726.4,500,0,-3.003655946,0.448047472,-0.624527821,-2.555608474,-3.030422047,0.453815867,-0.630512879,-2.576606181,-3.381332039,-0.31500873,-0.132448919,-3.696340769,-3.411504071,-0.317634879,-0.133468385,-3.72913895,-7.073814093,-0.974241383,-0.22468582,-8.048055476,-11.17023008,-2.626286821,-0.556793518,-13.7965169,56.85272416,447.5614769,504.4142011,0.112709714,-3.451703418,-3.484237914,-3.066323308,-3.093869192,-6.09957271,-8.543943259,9.738444988,8.119842479,9.304144954,8.592558418,11.09952848,9.10869217,10.68098452,10.80076561,0.087780787,0.103612469,0.092534155,0.109774858,21.20195439,14.71392927,35.91588367,59.01364058,-0.815047261,0.547899476,-0.267147785,729.6,76.42304445,0,96.99784294,4.680470585,0.015699639,20.77396846,14.43020279,4.520233794,0.006700251,73.01638816,98.57916342,4.004481379,0.21,
729.6,501,0,-2.890010416,0.543809014,-0.620291009,-2.346201403,-2.900232022,0.546367059,-0.622247302,-2.353864963,-3.268115487,-0.319365228,-0.10435988,-3.587480715,-3.279086536,-0.319228971,-0.105009203,-3.598315508,-6.720490252,-0.753271839,-0.308316036,-7.473762091,-10.9852173,-2.325832901,-0.579108483,-13.3110502,57.7130755,448.5679721,506.2810476,0.113966238,-3.43381943,-3.446599082,-2.948750259,-2.959857565,-5.967218413,-8.659384399,9.765397652,8.139987887,9.247006747,8.527702658,11.11911587,9.102618728,10.61861699,10.74396833,0.087452607,0.103045619,0.093141167,0.110858551,21.69623726,14.51731457,36.21355183,59.89152645,-0.320764398,0.35128477,0.030520372,732.8,80.69044358,0,97.03690452,4.719167021,0.015050016,20.79989475,14.28291385,4.563642357,0.003292161,72.13211644,98.43655302,3.980758703,0.21,
732.8,502,0,-2.820192955,0.574997847,-0.597838062,-2.245195108,-2.799291994,0.571390775,-0.593283808,-2.22790122,-3.214790882,-0.403466575,-0.05022691,-3.618257457,-3.190424277,-0.399344049,-0.050180141,-3.589768325,-6.371669445,-0.588994152,-0.41050224,-6.960663597,-10.48100979,-1.916444145,-0.846338955,-12.39745394,56.24032446,452.4640382,508.7043627,0.110527535,-3.395190801,-3.370682769,-2.811324307,-2.791080228,-5.782675292,-8.564565648,9.73830512,8.147972092,9.146308781,8.422310015,11.08733242,9.107533156,10.48803206,10.51505685,0.087694835,0.102902926,0.094026533,0.111173851,21.88791724,14.51312752,36.40104477,60.1308421,-0.129084413,0.347097727,0.218013314,736,81.25449064,0,97.10510845,4.715937108,0.041492456,20.80309457,14.27897724,4.575027234,0.000697684,69.62203529,98.21260907,3.982834234,0.21,
736,503,0,-2.92702641,0.571561693,-0.580447091,-2.355464717,-2.889652108,0.565248624,-0.57318165,-2.324403484,-3.323964839,-0.444707275,-0.030624901,-3.768672114,-3.281570718,-0.438882779,-0.030212424,-3.720453498,-6.499213638,-0.643477047,-0.412849166,-7.142690685,-10.34377255,-1.869759473,-1.022302054,-12.21353202,53.73197546,456.2366131,509.9685886,0.105340772,-3.498588103,-3.454900732,-2.879257564,-2.842687939,-5.855736591,-8.474013073,9.65136733,8.135940083,9.099982007,8.402425946,11.01207646,9.126757336,10.39767114,10.36989054,0.088675841,0.103416286,0.094168274,0.110153101,21.39748347,14.80923782,36.20672129,59.10978597,-0.619518182,0.643208022,0.02368984,739.2,78.49357536,0,97.15448945,4.702295408,0.046214508,20.79036343,14.28625068,4.584185271,0.00097805,70.27524835,98.03605964,4.055076316,0.21,
